,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8
0,0.424585331,0.164201075,0.035001634,0.182846379,0.058630374,0.312229158,0.665313471,0.669061411
1,0.924619935,0.128816029,0.789419827,0.446322998,0.336511501,0.451537418,0.008363189,0.578144782
2,0.377459036,0.758021193,0.889465844,0.02904791,0.209108386,0.786965717,0.523912113,0.926178225
3,0.462195655,0.997777428,0.308914563,0.971959,0.553490635,0.802035894,0.193032939,0.948674487
4,0.205912093,0.145138534,0.95906642,0.679985757,0.406460527,0.397368695,0.157668095,0.079122795
5,0.020279583,0.261415127,0.420308926,0.75107037,0.850888813,0.691042602,0.689169661,0.432888982
6,0.96103014,0.241625385,0.428140839,0.002578506,0.165036968,0.38473658,0.220802566,0.146620833
7,0.388533366,0.05975538,0.265715182,0.930011221,0.835671443,0.09136945,0.753914532,0.726470359
8,0.865841727,0.03171377,0.685402743,0.378570875,0.785081315,0.476537663,0.670248988,0.770738511
9,0.520415384,0.61440814,0.477339331,0.369421399,0.620713805,0.072083203,0.781820485,0.352760099
10,0.43028842,0.888279427,0.574718038,0.483518672,0.189635812,0.679071377,0.182805656,0.106377521
11,0.246706075,0.696436452,0.291973604,0.523773943,0.719125257,0.524408932,0.421018199,0.916436484
12,0.100658747,0.157986103,0.257528994,0.784333042,0.806876626,0.040114019,0.561988602,0.349422058
13,0.707635891,0.04460258,0.089471884,0.965387096,0.654916027,0.640494993,0.089978391,0.64800676
14,0.319433267,0.738517605,0.333282167,0.923908193,0.741939938,0.18086727,0.849041744,0.030503241
15,0.210477139,0.985747748,0.394424962,0.357236594,0.828594436,0.735105577,0.225399526,0.822877131
16,0.360470592,0.109084877,0.288429819,0.200910074,0.879720927,0.114617541,0.503680676,0.830173713
17,0.491048136,0.778959332,0.696704312,0.772200126,0.048454815,0.653115355,0.322801843,0.753252044
18,0.568224516,0.413340741,0.220394725,0.641542211,0.802924319,0.335155725,0.994418985,0.708657707
19,0.864733213,0.234140379,0.044483461,0.947809737,0.981683943,0.03927522,0.886477727,0.601435641
20,0.476176275,0.349026236,0.404351545,0.820882497,0.093926234,0.249093222,0.339017342,0.040620233
21,0.959975682,0.131878328,0.304789099,0.981642732,0.251468473,0.820108416,0.208683912,0.940750501
